Basic_data_and_indicators,,,Units,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
,,Land,Thousands,493,482,573,713,803,..,1111,1179,1335,1457,..,1358,1653,2016,..,..,..,..,..,1953,1532,1593,1656,1701,..,343,..,
BRAZIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Including nationals residing abroad.
2/ Including arrivals by river."
,Total,,Thousands,1991,2665,2850,4818,5107,5313,4772,3785,4133,4794,5358,5017,5026,5050,4802,5161,5433,5678,5813,6430,6306,6547,6589,6621,6353,2146,..,
,,Air,Thousands,1343,1894,2005,2421,2534,2723,2960,2815,3083,3569,3938,3713,3747,3691,3349,3610,3808,3987,4066,4540,4318,4369,4188,4328,4289,1186,..,
,,Water,Thousands,43,53,70,123,127,161,134,79,57,74,106,123,129,110,154,151,182,150,135,130,117,136,150,205,225,124,..,
,,Land,Thousands,605,718,775,2274,2446,2429,1678,891,993,1151,1314,1181,1150,1249,1299,1400,1443,1541,1612,1760,1871,2042,2252,2089,1839,837,..,
BRITISH VIRGIN ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,365,412,365,392,484,519,535,544,657,813,821,826,948,934,857,842,831,753,742,773,..,..,..,..,..,..,..,
,,Air,Thousands,104,108,108,128,129,136,144,135,153,220,205,165,147,132,105,109,93,86,88,84,..,..,..,..,..,..,..,
,,Water,Thousands,261,304,257,264,355,383,391,409,504,593,616,661,801,802,752,733,738,667,654,688,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
BRUNEI DARUSSALAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Until 2016 arrivals by air only.
,Total,,Thousands,..,..,..,..,..,..,..,..,..,119,126,158,179,226,157,214,242,209,225,201,218,4257,4316,4521,4449,1071,110,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,119,126,158,179,226,157,214,242,209,225,201,218,219,259,278,333,62,4,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25,11,19,15,2,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4013,4046,4224,4101,1007,107,
BULGARIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,8005,6810,7543,5240,5056,4922,5104,5563,6241,6982,7282,7499,7726,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,827,947,981,933,651,776,1008,1185,1409,1715,2007,2203,2318,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,90,62,91,77,92,100,117,104,120,156,178,169,211,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,7088,5801,6471,4230,4313,4046,3979,4274,4712,5111,5097,5127,5197,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
BURKINA FASO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Tourist arrivals at Ouagadougou International Airport.
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,108,102,97,95,103,109,133,54,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,108,102,97,95,103,109,133,54,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
BURUNDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Including nationals residing abroad. From 2010: break in the series due to implementation of improved methodology for distinguishing visitors (tourists) from other travellers.
2/ Arrivals by lake."
,Total,,Thousands,33,27,9,15,26,29,36,74,74,133,148,213,192,201,212,142,144,147,234,235,131,187,299,..,..,..,..,
,,Air,Thousands,14,11,3,6,10,12,14,18,17,39,49,49,44,46,49,33,31,41,92,86,46,74,89,..,..,..,..,
,,Water,Thousands,1,1,1,1,2,2,3,21,21,46,49,38,35,36,38,25,26,14,21,26,13,15,16,..,..,..,..,
,,Land,Thousands,18,15,5,8,14,15,19,35,36,48,50,126,113,119,125,84,87,92,121,123,72,98,194,..,..,..,..,
CABO VERDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,28,37,45,52,67,83,115,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,28,37,45,52,67,83,115,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
CAMBODIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Arrivals by boat.
,Total,,Thousands,220,260,219,290,368,466,605,787,701,987,1334,1592,2016,2125,2162,2508,2882,3584,4210,4503,4775,5012,5602,6201,6611,1306,196,
,,Air,Thousands,220,260,219,186,263,351,408,523,456,626,857,1027,1297,1239,1112,1304,1481,1722,2018,2274,2476,2704,3313,4097,4404,756,100,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,25,32,40,44,72,78,78,81,76,75,97,148,153,145,144,157,52,0,
