Basic_data_and_indicators,,,Units,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
SLOVAKIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
SLOVENIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Aggregates from accommodation survey, shares from 3 yearly surveys on foreign tourists in Slovenia."
,Total,,Thousands,731,832,974,977,885,1090,1219,1302,1373,1499,1555,1617,1751,1958,1824,2049,2236,2377,2502,2675,3022,3397,3991,4425,4702,1215,1831,
,,Air,Thousands,62,75,90,88,80,202,226,241,264,288,298,336,364,407,390,439,479,491,517,553,900,1012,1189,1318,1500,388,585,
,,Water,Thousands,1,1,2,2,2,2,2,2,1,1,2,2,2,2,..,..,..,2,2,2,2,3,3,4,1,..,..,
,,Land,Thousands,668,756,882,887,803,886,991,1059,1108,1210,1255,1279,1385,1549,1434,1610,1758,1883,1982,2120,2120,2383,2799,3104,3201,827,1246,
SOLOMON ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Arrivals by air. 2004: without 1st and 2nd quarters; 2005: without 1st quarter.
,Total,,Thousands,..,..,..,..,..,..,..,..,..,6,9,12,14,16,18,21,23,24,24,20,22,23,26,28,29,4,1,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,6,9,12,14,16,18,21,23,24,24,20,22,23,26,28,29,4,1,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
SOMALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
SOUTH AFRICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ 1995-2008: excluding arrivals for work and contract workers.
Since 2009 a new methodology has been applied and therefore, the information is not comparable to previous years.
Since 2014 a new methodology has been applied and therefore, the information is not comparable to previous years. From 2014 excluding transit."
,Total,,Thousands,4684,5186,5170,5898,6026,6000,5908,6549,6640,6815,7518,8509,9208,9729,7012,8074,8339,9188,9537,9549,8904,10044,10285,10472,10229,2802,2256,
,,Air,Thousands,1136,1230,1329,1463,1523,1597,1596,1885,1980,2025,2127,2318,2501,2581,2152,2739,2503,2937,3164,2573,2536,2893,3060,3089,3006,774,606,
,,Water,Thousands,26,30,37,38,49,26,17,18,5,3,3,7,5,2,1,5,9,11,7,4,7,11,9,16,16,10,0,
,,Land,Thousands,3522,3926,3804,4397,4454,4377,4295,4646,4655,4787,5388,6184,6702,7146,4859,5330,5827,6240,6366,6972,6362,7140,7216,7368,7206,2018,1650,
SOUTH SUDAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
SPAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Source: Frontur (Statistics of tourists’ flows at frontiers).
2015: data calculated by extrapolating the data of Turespaña until September to calculate the data for October, November and December. Since October 2015 this operation is carried out by the National Statistics Institute - INE.
2016: break in the series. The data are not comparable with those of previous years."
,Total,,Thousands,32971,34027,37131,41892,45440,46402,48565,50330,50854,52430,55913,58005,58665,57192,52178,52677,56177,57464,60676,64939,68170,75315,81869,82808,83509,18933,31181,
,,Air,Thousands,23934,24658,27677,30457,32574,34380,35331,34947,36923,38524,40730,42445,44324,44397,40233,40559,44614,46159,48763,51823,54365,60344,66640,67546,68692,13658,24432,
,,Water,Thousands,..,..,..,601,1085,1083,1256,1225,1521,1511,1772,1460,1456,1452,1398,1442,1416,1079,908,859,976,1635,1966,2012,1721,223,227,
,,Land,Thousands,9037,9369,9454,10834,11781,10939,11978,14158,12410,12395,13411,14100,12885,11343,10547,10677,10147,10226,11005,12257,12829,13336,13263,13251,13097,5052,6522,
SRI LANKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Excluding nationals residing abroad.
,Total,,Thousands,403,302,366,381,436,400,337,393,500,566,549,559,494,438,447,654,856,1006,1274,1527,1798,2051,2116,2334,1914,508,..,
,,Air,Thousands,403,302,366,381,436,400,337,393,500,566,549,559,494,438,447,654,854,1002,1248,1501,1773,2027,2090,2248,1815,480,..,
,,Water,Thousands,"0,3","0,2","0,4","0,3","0,2","0,3","0,2",..,"0,2","0,2","0,3","0,4","0,3","0,1","0,4","0,4",2,3,26,27,25,24,26,86,99,28,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
STATE OF PALESTINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
SUDAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ From 2005 including nationals residing abroad.
,Total,,Thousands,29,38,30,36,39,38,50,52,51,62,246,328,436,440,420,495,536,575,591,684,..,799,812,..,..,..,..,
,,Air,Thousands,29,38,30,30,33,32,42,42,40,51,197,318,361,364,294,287,311,402,414,479,..,551,561,..,..,..,..,
,,Water,Thousands,..,..,..,4,4,4,5,7,8,8,37,7,59,58,84,198,214,115,118,191,..,160,162,..,..,..,..,
,,Land,Thousands,..,..,..,2,2,2,3,3,3,3,12,3,16,18,42,10,11,58,59,14,..,88,89,..,..,..,..,
SURINAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,69,74,78,70,72,72,68,60,99,91,160,154,167,151,151,205,220,240,249,252,228,257,278,..,..,..,..,
,,Air,Thousands,43,53,61,55,57,57,54,60,82,75,122,119,134,120,113,146,150,155,149,154,140,167,200,..,..,..,..,
,,Water,Thousands,26,21,17,15,15,15,14,..,17,16,38,35,33,31,38,59,70,85,100,98,87,90,78,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
SWEDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ 2001-2002: data according to IBIS-Survey (Incoming Visitors to Sweden) during the years 2001 to 2003, (no data collected before 2001 or after 2003). Source: Swedish Tourist Authority and Statistics Sweden.
Data for 2011-2014 according to new national border survey (IBIS, Incoming Visitors to Sweden). No data collected during 2004 to 2010. The new border survey (IBIS) started in 2011. Source: Swedish Agency for Economic and Regional Growth. No data collected in 2015-2019."
,Total,,Thousands,..,..,..,..,..,..,7436,7458,..,..,..,..,..,..,..,..,19404,20011,18804,19945,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,3083,2700,..,..,..,..,..,..,..,..,3689,4662,4509,4503,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,2221,2558,..,..,..,..,..,..,..,..,7019,7630,7036,7032,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,2132,2200,..,..,..,..,..,..,..,..,8696,7719,7259,8410,..,..,..,..,..,..,..,
SWITZERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
SYRIAN ARAB REPUBLIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ 2000-2008: including the nationals residing abroad. 
,Total,,Thousands,2252,2435,2332,2463,2681,3412,3671,4678,4837,6334,5858,5681,5434,6951,6656,9457,5433,..,..,..,..,1043,1291,1802,2424,479,661,
,,Air,Thousands,271,325,355,343,344,544,579,666,629,830,836,878,945,1256,1088,1455,849,..,..,..,..,169,238,267,323,97,245,
,,Water,Thousands,10,9,12,12,15,30,21,20,19,28,33,27,24,29,9,12,2,..,..,..,..,1,1,1,1,1,1,
,,Land,Thousands,1971,2101,1965,2108,2322,2838,3071,3992,4189,5476,4989,4776,4465,5666,5559,7990,4582,..,..,..,..,874,1053,1534,2101,382,415,
TAIWAN PROVINCE OF CHINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Including nationals residing abroad.
,Total,,Thousands,2332,2358,2372,2298,2411,2624,2831,2978,2248,2951,3378,3520,3716,3846,4395,5567,6087,7311,8016,9910,10440,10690,10740,11067,11864,1378,140,
,,Air,Thousands,2317,2344,2358,2284,2397,2611,2814,2954,2228,2916,3341,3450,3624,3736,4177,5265,5762,6955,7660,9432,9839,10161,10151,10415,11193,1331,128,
,,Water,Thousands,15,14,14,14,14,13,17,24,20,35,37,70,92,110,218,302,325,356,356,478,600,529,588,652,671,47,13,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
TAJIKISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,"0,7","2,1","3,2","4,5","7,7","5,2",..,..,..,..,..,..,..,..,..,..,244,208,213,414,344,431,1035,..,..,..,
,,Air,Thousands,..,..,..,..,"0,7","2,3",1,..,..,..,..,..,..,..,..,..,..,94,78,170,391,284,281,305,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,"0,7","2,1","3,2","3,8","5,4","4,2",..,..,..,..,..,..,..,..,..,..,150,130,43,23,60,150,730,..,..,..,
"TANZANIA, UNITED REPUBLIC OF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,295,326,360,482,627,502,525,575,576,583,613,644,720,770,714,783,868,1076,1096,1140,1137,1284,1327,1506,1527,621,..,
,,Air,Thousands,110,146,160,311,365,312,315,316,320,257,331,359,389,439,380,405,476,604,563,636,652,768,769,929,936,366,..,
,,Water,Thousands,16,22,35,8,6,15,21,20,25,24,10,14,16,9,10,23,3,3,59,60,63,77,76,11,10,11,..,
,,Land,Thousands,169,158,165,163,256,175,189,239,231,302,272,271,315,322,324,355,389,469,474,444,423,439,482,565,581,244,..,
THAILAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ 1995-2005: including arrivals of nationals residing abroad.
2/ Including rail."
,Total,,Thousands,6951,7244,7294,7843,8651,9579,10133,10873,10082,11738,11567,13822,14464,14584,14150,15936,19230,22354,26547,..,..,32530,35592,35178,39916,..,..,
,,Air,Thousands,5670,6124,6205,6678,7263,8077,8456,8955,8164,9803,9544,11495,11975,11624,11100,12378,14929,17803,21501,..,..,27218,30114,32136,33482,..,..,
,,Water,Thousands,159,137,116,178,234,248,250,225,180,247,242,303,280,213,254,486,552,563,705,..,..,474,494,616,761,..,..,
,,Land,Thousands,1122,983,973,987,1154,1254,1427,1693,1738,1688,1781,2024,2209,2747,2796,3072,3749,3988,4341,..,..,4838,4984,2426,5674,..,..,
TIMOR-LESTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Arrivals by air at Dili Airport.
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,14,22,36,44,40,51,58,78,60,62,66,74,75,81,18,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,14,22,36,44,40,51,58,78,60,62,66,74,75,81,18,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
TOGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ From 2016 including nationals residing abroad.
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,249,338,514,573,876,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,126,219,353,367,517,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,3,17,9,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,123,118,158,189,351,..,..,
TONGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Including cruise ship and yacht passengers and crew members.
,Total,,Thousands,33,31,29,35,44,43,38,45,51,51,60,54,65,65,75,65,68,57,60,66,73,87,87,77,94,12,0,
,,Air,Thousands,29,27,26,27,31,35,32,37,40,41,42,39,46,50,46,47,46,47,48,50,54,59,63,54,67,9,0,
,,Water,Thousands,4,4,3,8,13,8,6,8,11,10,18,15,19,15,29,18,22,10,12,15,19,28,24,23,27,3,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
TRINIDAD AND TOBAGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,282,317,360,377,421,503,468,451,474,501,529,534,531,482,534,490,491,504,467,455,519,492,465,501,480,141,..,
,,Air,Thousands,260,266,324,334,358,399,383,384,409,443,463,461,449,437,419,388,431,455,434,412,440,409,395,375,389,95,..,
,,Water,Thousands,22,51,36,43,63,104,85,67,65,58,66,73,82,45,115,102,60,49,33,43,79,83,70,126,91,46,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
TUNISIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Excluding nationals residing abroad.
,Total,,Thousands,4119,3884,4264,4718,4832,5058,5387,5064,5114,5998,6379,6550,6762,7050,6902,6903,4785,5950,6269,6070,..,4526,5743,6921,7985,1432,1600,
,,Air,Thousands,2502,2674,3030,3224,3591,3752,3761,3066,2992,3664,4053,4144,4263,4371,4034,4140,2406,3597,3766,3449,..,1961,2340,3166,3556,587,793,
,,Water,Thousands,51,55,58,55,68,70,72,78,89,84,94,101,105,103,109,110,90,96,78,89,..,75,86,90,119,33,55,
,,Land,Thousands,1566,1155,1176,1439,1173,1236,1554,1920,2033,2250,2232,2305,2394,2576,2759,2653,2289,2257,2425,2532,..,2490,3317,3665,4310,812,751,
TÜRKIYE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ From 2007 Turkish citizens resident abroad are included.
,Total,,Thousands,7727,8614,9689,9753,7487,10429,11619,13255,14029,17517,21125,19820,27215,31138,31760,32997,36769,37716,39861,41627,41114,30907,37970,46113,51747,15971,30039,
,,Air,Thousands,5164,6240,7020,6699,4687,7274,8459,9990,10080,12575,14980,14085,20271,22974,22912,23101,26026,27733,29418,31034,31040,22425,28114,35230,39829,11765,23573,
,,Water,Thousands,885,922,953,1111,835,1145,1138,745,992,1152,1320,1457,1812,2680,2669,2122,2709,2528,2616,2493,2371,958,838,1040,1456,310,408,
,,Land,Thousands,1678,1452,1716,1943,1965,2010,2022,2520,2957,3790,4825,4278,5132,5484,6178,7774,8034,7455,7827,8100,7703,7523,9018,9843,10463,3896,6058,
TURKMENISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ 1995-1998: Arrivals of non-resident visitors at national borders.
,Total,,Thousands,233,282,332,380,..,"3,4","5,2","10,8","8,2","14,8","11,6","5,7","8,2",..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,138,89,91,94,..,"2,2","1,1","4,8","2,7","3,8","2,7",4,"4,8",..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,11,..,..,..,..,..,..,..,..,..,..,"0,2",..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,95,182,241,286,..,"1,2","4,1",6,"5,5",11,"8,9","1,7","3,2",..,..,..,..,..,..,..,..,..,..,..,..,..,..,
TURKS AND CAICOS ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,79,88,93,111,121,152,165,157,158,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,76,86,91,111,120,139,164,154,158,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,3,2,2,..,1,13,1,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
TUVALU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,"1,4","1,3","1,1","1,1","1,1",..,..,..,"1,2",..,..,..,..,..,..,3,4,1,0,
,,Air,Thousands,..,..,..,..,..,..,..,..,"1,1","1,1","0,9","0,9",1,..,..,..,"1,1",..,..,..,..,..,..,3,4,1,0,
,,Water,Thousands,..,..,..,..,..,..,..,..,"0,3","0,2","0,2","0,2","0,1",..,..,..,"0,1",..,..,..,..,..,..,0,0,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
UGANDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,175,195,189,193,205,254,305,512,468,539,642,844,807,946,1151,1197,1206,1266,1303,1323,1402,..,657,473,513,
,,Air,Thousands,..,..,97,100,97,78,80,86,97,131,172,200,234,358,271,369,369,416,423,443,402,432,421,..,260,79,99,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,78,95,92,115,125,168,208,381,296,339,408,486,536,577,782,781,783,823,901,890,982,..,397,394,414,
UKRAINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,5485,5391,14744,12003,10989,11691,11877,12793,12514,15629,20489,21713,26162,28828,24033,24114,24535,25061,26025,13227,13025,13734,14579,14342,13710,3382,..,
,,Air,Thousands,350,323,515,418,523,523,605,665,675,844,1069,1217,1478,1662,1457,1731,2004,2298,2497,1193,1319,1603,2129,2566,2743,703,..,
,,Water,Thousands,560,530,1171,251,306,322,290,307,300,375,264,292,314,318,276,269,255,240,263,148,127,116,127,123,134,123,..,
,,Land,Thousands,4575,4538,13058,11334,10160,10846,10982,11821,11539,14410,19156,20204,24370,26848,22300,22114,22276,22523,23265,11886,11579,12016,12324,11653,10833,2556,..,
UNITED ARAB EMIRATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Note 2015: the source of the data changed and therefore, are not comparable with those of previous years. New sources: The Federal Authority for Identity and Citizenship, Economic Survey, Household income and expenditure survey, Mirror statistics for GCC data and Tourism surveys done by local tourism authorities.
1/ Until 2014: Non-resident tourists staying in hotels and similar establishments. From 2015: Arrivals of non-resident visitors at national borders."
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16233,19314,20894,21805,23092,25282,8084,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14249,14422,15075,16316,17072,17636,5963,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,392,318,423,399,397,539,279,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1592,4574,5396,5091,5624,7107,1842,..,
UNITED KINGDOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Tunnel.
,Total,,Thousands,23537,25163,25515,25745,25394,25209,22835,24180,24715,27755,29970,32713,32778,31888,31072,30398,31886,32221,33567,35337,36792,39129,41080,40283,40857,..,..,
,,Air,Thousands,15754,16279,16858,17479,17284,17831,16054,17098,17635,20002,22043,24588,25089,24024,23239,22162,23741,23880,24787,26137,27262,29453,31880,31512,32137,..,..,
,,Water,Thousands,5998,6176,5746,5098,4993,4298,4002,4405,4369,4770,4675,4858,4459,4495,4463,4404,4389,4125,4302,4731,4892,4907,4666,4514,4460,..,..,
,,Land,Thousands,1785,2708,2911,3168,3117,3080,2779,2677,2711,2983,3252,3267,3230,3369,3370,3832,3756,4216,4478,4470,4638,4769,4534,4258,4260,..,..,
UNITED STATES OF AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Preliminary estimates.
,Total,,Thousands,43490,46636,47875,46369,48155,50895,46555,43198,40793,45580,48860,50646,55737,57651,54755,60010,63477,66967,71643,75379,77774,76407,77187,79746,79442,19212,22100,
,,Air,Thousands,24668,27558,29393,29018,30219,32388,27399,24240,23078,25824,27673,27806,30347,32035,30016,33171,35978,37752,41680,43807,47667,46941,48734,50695,50253,10933,13736,
,,Water,Thousands,372,432,452,461,460,482,451,386,375,417,420,453,503,460,427,416,411,450,578,598,565,553,532,561,537,58,75,
,,Land,Thousands,18450,18646,18030,16890,17476,18025,18705,18572,17340,19340,20767,22388,24887,25156,24311,26424,27088,28765,29385,30974,29542,28913,27921,28489,28652,8222,8290,
UNITED STATES VIRGIN ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Visitor arrivals by air; excluding resident arrivals and inter-island traffic but including same-day visitors.
2/ Cruise passengers."
,Total,,Thousands,1741,1778,2128,2139,1964,2396,2497,2337,2395,2620,2602,2570,2606,2435,2245,2531,2686,2642,2702,2814,2643,2574,1954,1922,2074,861,1070,
,,Air,Thousands,570,462,509,523,560,628,606,598,621,655,689,667,688,678,663,672,677,738,703,730,764,797,650,491,641,419,824,
,,Water,Thousands,1171,1316,1619,1616,1404,1768,1891,1739,1774,1965,1913,1903,1918,1757,1582,1859,2009,1904,1999,2084,1879,1777,1304,1431,1433,442,246,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
URUGUAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Excluding cruise passenger arrivals.
,Total,,Thousands,2177,2259,2463,2323,2273,2236,2137,1354,1500,1872,1917,1824,1812,1998,2098,2408,2960,2846,2815,2811,2965,3329,3941,3712,3221,..,..,
,,Air,Thousands,402,466,436,429,402,377,332,299,314,380,406,419,437,458,468,565,628,568,503,565,531,603,641,706,600,..,..,
,,Water,Thousands,852,916,1105,956,909,1018,741,469,537,691,692,775,897,990,983,1016,984,909,910,814,1026,1026,1200,1017,897,..,..,
,,Land,Thousands,923,877,922,938,962,841,1064,586,649,801,819,630,478,550,647,827,1348,1369,1402,1432,1408,1700,2100,1989,1724,..,..,
UZBEKISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,92,174,960,811,487,302,345,312,231,262,242,560,903,1069,1215,975,..,..,..,..,..,..,..,5346,6749,..,..,
,,Air,Thousands,89,168,939,789,465,280,323,296,220,235,217,523,855,231,217,227,..,..,..,..,..,..,..,437,657,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,3,6,21,22,22,22,22,16,11,27,25,37,48,838,998,748,..,..,..,..,..,..,..,4909,6092,..,..,
VANUATU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
